antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"dti_bin=DTI_Medium, sex=Male","outcome=originated, race=White",0.18878827997410152,0.5638329741691711,0.11676539654622588,0.618499180999181,1.0969546112668607,1.0,0.010320339160146047,1.143292501896025,0.10895460605590462,0.18363500965060262,0.12533319483718297,0.4127956776349554
"ethnicity=Not Hispanic or Latino, race=White, sex=Male",dti_bin=DTI_Medium,0.19584271508779388,0.5067017133580077,0.10315903402556992,0.5267443007993685,1.039555002308034,1.0,0.003925194741900603,1.0423504407347115,0.047316535804026894,0.17210802095929065,0.04062975279682361,0.36516678746723585
"dti_bin=DTI_Medium, sex=Male","ethnicity=Not Hispanic or Latino, race=White",0.18878827997410152,0.5247340091417748,0.10315903402556992,0.546427108927109,1.0413411355227655,1.0,0.00409540299577979,1.047827152398859,0.04893900782309386,0.16901252355092541,0.04564412392765837,0.3715100553843648
"dti_bin=DTI_Medium, occupancy=PrimaryRes, sex=Male",loan_purpose=Purchase,0.17768479237734464,0.5997816024197679,0.11266802601443743,0.6340893022243976,1.0572003203603082,1.0,0.0060959565167299085,1.0937597616390795,0.0657965092142023,0.16947698927232024,0.08572244557486161,0.4109688608244406
"loan_purpose=Purchase, occupancy=PrimaryRes, sex=Male",dti_bin=DTI_Medium,0.21211623389801026,0.5067017133580077,0.11266802601443743,0.5311617312072893,1.0482730119209196,1.0,0.005188366867267702,1.052171547156907,0.05844775571477174,0.18587485053806296,0.049584639784149946,0.3767587272964394
"dti_bin=DTI_Medium, sex=Male","loan_purpose=Purchase, occupancy=PrimaryRes",0.18878827997410152,0.5701529749422599,0.11266802601443743,0.5967956592956593,1.0467290105012563,1.0,0.00502982655297117,1.066077374828997,0.05503235618431027,0.17433497315968122,0.061981781425195406,0.39720291439359234
"dti_bin=DTI_Medium, outcome=originated, sex=Male",loan_purpose=Purchase,0.15668576840192885,0.5997816024197679,0.11061934074854321,0.7059948192919699,1.1770864868873836,1.0,0.016642099500061694,1.3612630791621323,0.17839702960567072,0.17127766223272933,0.26538814186049364,0.4452137599827233
"loan_purpose=Purchase, outcome=originated, sex=Male",dti_bin=DTI_Medium,0.19859684386505735,0.5067017133580077,0.11061934074854321,0.5570045253272347,1.099274998767738,1.0,0.009989979694625908,1.1135515255689348,0.11268925068985862,0.18601514511358833,0.10197240357685214,0.38765853531113614
"dti_bin=DTI_Medium, loan_purpose=Purchase, sex=Male",outcome=originated,0.12043756824924383,0.761105903499193,0.11061934074854321,0.918478696942951,1.206768588602762,1.0,0.018953596550956756,2.9304499258755445,0.19480221679315046,0.14348926995587646,0.658755472608451,0.5319094855969199
"dti_bin=DTI_Medium, sex=Male","loan_purpose=Purchase, outcome=originated",0.18878827997410152,0.5341077105942154,0.11061934074854321,0.5859438984438985,1.0970519369436051,1.0,0.009786064744556094,1.1251912184239596,0.10905430197213992,0.18066888681955207,0.11126217159720936,0.3965272233308691
"dti_bin=DTI_Medium, loan_type=Conventional, sex=Male",loan_purpose=Purchase,0.1673254027309361,0.5997816024197679,0.10521738290120891,0.6288189431129079,1.0484131900278224,1.0,0.0048586847257150595,1.078229586759253,0.05545694073447734,0.1589651497233294,0.07255373783090237,0.40212255118136936
"loan_purpose=Purchase, loan_type=Conventional, sex=Male",dti_bin=DTI_Medium,0.18271953305437713,0.5067017133580077,0.10521738290120891,0.5758409138988787,1.1364495100730416,1.0,0.012633082438580898,1.163002992995859,0.14690978242057637,0.18010388063651703,0.14015698495836912,0.3917462188596503
"dti_bin=DTI_Medium, loan_purpose=Purchase, sex=Male",loan_type=Conventional,0.12043756824924383,0.8488224891525981,0.10521738290120891,0.8736259327609723,1.0292210019472225,1.0,0.0029872664323998543,1.1962700429785196,0.032278979213467916,0.12177336375430592,0.16406834237012136,0.498791403713273
"dti_bin=DTI_Medium, sex=Male","loan_purpose=Purchase, loan_type=Conventional",0.18878827997410152,0.4870845855760961,0.10521738290120891,0.5573300573300572,1.1442161666251023,1.0,0.013261521788399677,1.1586858853128335,0.15537160475030257,0.1843798685903949,0.13695332559435644,0.3866723296728851
"outcome=originated, sex=Male",loan_purpose=Purchase,0.28041862757414404,0.5997816024197679,0.19859684386505735,0.7082155903232477,1.180789119682918,1.0,0.030406910070285148,1.37162365194085,0.2127747235695064,0.2913671614705174,0.27093703977399475,0.5196654273596066
"loan_purpose=Purchase, sex=Male",outcome=originated,0.2263990491008011,0.761105903499193,0.19859684386505735,0.8771982243469353,1.1525311002240377,1.0,0.02628319104783397,1.9453635359127233,0.17107586896640944,0.25173634503962666,0.4859572611805838,0.5690650847483788
"loan_type=Conventional, outcome=originated, sex=Male",loan_purpose=Purchase,0.23648785767435568,0.5997816024197679,0.16281249698012196,0.6884602811376267,1.147851615254773,1.0,0.020971430751378917,1.2846464619075868,0.1687036098896352,0.24175634954799832,0.22157571779313653,0.47995662527863836
"loan_purpose=Purchase, loan_type=Conventional, sex=Male",outcome=originated,0.18271953305437713,0.761105903499193,0.16281249698012196,0.8910514068119315,1.1707324863929087,1.0,0.023743581687819593,2.192723095454981,0.1784380119743259,0.20846325167037863,0.5439460631975036,0.5524835500286168
"outcome=originated, sex=Male","loan_purpose=Purchase, loan_type=Conventional",0.28041862757414404,0.4870845855760961,0.16281249698012196,0.5806051416362258,1.192000647997347,1.0,0.026224905980352375,1.2229892765614496,0.2238444291835462,0.269249208936619,0.18233134242060184,0.4574321637075661
"loan_purpose=Purchase, sex=Male","loan_type=Conventional, outcome=originated",0.2263990491008011,0.6462925561214136,0.16281249698012196,0.7191394912071026,1.1127151077259259,1.0,0.01649247683330779,1.2593705159859458,0.13094265754066145,0.22935242788494262,0.2059525077755912,0.48552856675817385
